Data	TCRBV01.01	TCRBV02.01	TCRBV03.01	TCRBV04.01	TCRBV05.01	TCRBV12.01	TCRBV12.02	TCRBV13.01	TCRBV13.02	TCRBV13.03	TCRBV14.01	TCRBV15.01	TCRBV16.01	TCRBV17.01	TCRBV19.01	TCRBV20.01	TCRBV21.01	TCRBV23.01	TCRBV26.01	TCRBV29.01	TCRBV30.01	TCRBV31.01
Treg_Nrp1-_1_D2	0.0509312048650703	0.0997719498289624	0.0974914481185861	0.0281261877613075	0.0794374762447738	0.0193842645381984	0.016533637400228	0.0442797415431395	0.117445838084379	0.0604332953249715	0.0148232611174458	0.040478905359179	0.0535917901938426	0.0114025085518814	0.0855188141391106	0.048270619536298	0.000760167236792094	0.0072215887495249	0.0351577347016344	0.0174838464462182	0.00361079437476245	0.0674648422652984
Treg_Nrp1-_2_D2	0.0560599182932365	0.0798910576486609	0.0871538810712665	0.0281434407625965	0.081025873808443	0.0247389922832501	0.022015433499773	0.047208352246936	0.112119836586473	0.0535633227417158	0.0149795733091239	0.0483431684067181	0.0558329550612801	0.0120290512936904	0.0932818883340899	0.0442578302315025	0.00226963231956423	0.00726282342260554	0.0385837494325919	0.0156604630049932	0.00340444847934635	0.0719473445301861
Treg_Nrp1-_3_D2	0.0692662904053361	0.0895330938943048	0.0951770138532581	0.0277065161621344	0.0933812211390457	0.0164186762442278	0.0156490507952796	0.0441251924063622	0.102360184710108	0.0528476141611083	0.013083632632119	0.0359158542842483	0.0572088250384813	0.0148794253463315	0.0792714212416624	0.0520779887121601	0.0012827090815803	0.0094920472036942	0.0407901487942535	0.0197537198563366	0.00359158542842483	0.0654181631605952
SPF_MP1_Tbet-hi_D1	0.0602042644687332	0.0711342053395449	0.079555635190826	0.0378068446514961	0.0573373947321269	0.0234724959684644	0.0145135280415696	0.0528579107686794	0.147285432718151	0.0627127754882637	0.0143343486830317	0.0365525891417309	0.05196201397599	0.0112882995878875	0.0759720480200681	0.0530370901272173	0.00215015230245476	0.00824225049274324	0.0374484859344204	0.0266977244221466	0.00268769037806845	0.0560831392223616
SPF_MP1_Tbet-lo_D1	0.0606499240066585	0.0904682637330824	0.088224650792502	0.0413259028732721	0.0725193602084389	0.0137511760874285	0.011652312368821	0.0476224940290946	0.110950278642252	0.0549323297387277	0.013823550698415	0.0345950640515307	0.0476948686400811	0.00919157559528118	0.0890207715133531	0.0453788810885142	0.00202648910762105	0.00882970254034885	0.0433523919808931	0.0139682999203879	0.0029673590504451	0.0825070565245712
SPF_MP2_Tbet-hi_D1	0.0575376005596362	0.0605106680657573	0.0825463448758307	0.0335781741867786	0.0720531654424624	0.0220356768100735	0.0146904512067156	0.0519412381951731	0.147254284714935	0.0673312346974467	0.0115424973767051	0.037075900664568	0.0531654424623994	0.0129415879678209	0.071178733823015	0.0517663518712837	0.00157397691500525	0.00891920251836306	0.0328786288912207	0.0251836306400839	0.00349772647778944	0.0666316894018888
SPF_MP2_Tbet-lo_D1	0.0581201755713637	0.0802936279703345	0.0896019373391857	0.0401846526411382	0.0706826093537158	0.0164219766913879	0.0166490086272136	0.0488875435144544	0.109353715756016	0.0500983805055244	0.0131678522778871	0.0535795368548509	0.0612229453609808	0.00892992280914182	0.0799152414106251	0.0436658089904647	0.00121083699107008	0.0093839866807931	0.0437414863024065	0.0131678522778871	0.00363251097321023	0.0760556985015892
SPF_MP3_Tbet-hi_D1	0.0636224418766532	0.0643185298621746	0.076708896004455	0.0309063065571488	0.0679381873868857	0.0236669915077266	0.0175414172351385	0.0552693860503968	0.149798134484199	0.0708617569260755	0.0133648893220103	0.0374495336210497	0.049283029374913	0.0128080189335932	0.0648754002505917	0.0513712933314771	0.00167061116525129	0.00710009745231797	0.0368926632326326	0.0222748155366838	0.00292356953918975	0.0651538354448002
SPF_MP3_Tbet-lo_D1	0.0563380281690141	0.0864402098867716	0.0955537144435239	0.0374206020436344	0.0728620086532265	0.0144527294485869	0.0140845070422535	0.0453834115805947	0.111203166712694	0.0523796373009298	0.0146828684525453	0.0372364908404676	0.050768664273221	0.00925158795912731	0.0841388198471877	0.0471784958114701	0.00138083402375035	0.00943569916229403	0.0390776028721348	0.0210347049617969	0.00372825186412593	0.0831262082297708
Exp_1_Mouse_1_Helios+_Treg_A_D1	0.0456192672481057	0.0576179494737572	0.150139580046122	0.0233384772770621	0.0688190314358539	0.0728763892982852	0.0487749900299967	0.0408856830752692	0.0921921869852444	0.0502314774677926	0.0117212560470237	0.0379033516550205	0.049381859795745	0.00910304648622406	0.0665996220068316	0.0338113155202608	0.00156052225478127	0.00913772475855253	0.0348169854177865	0.0204255024014704	0.00296499228408441	0.0585022454181333
